Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
   3300  0.00000E+00  0.00000E+000  3.54010E-019  3.07069E-015 -1.09399E-016 -7.41705E-016  5.59669E-005 -8.00575E-005  1.10313E-003  5.31508E-007  1.56908E-006  3.23488E-006  2.93364E-006  6.84947E-006  1.64981E-008  1.35407E+000
   3400  0.00000E+00  0.00000E+000  3.53805E-019  3.24342E-015 -3.63264E-016 -1.04883E-015  6.06129E-005 -8.23232E-005  1.11931E-003  5.26909E-007  1.56687E-006  3.22531E-006  2.92663E-006  6.85496E-006  1.63178E-008  1.35386E+000
   3500  0.00000E+00  0.00000E+000  3.53638E-019  3.39021E-015 -5.35473E-016 -1.31291E-015  6.19384E-005 -8.01725E-005  1.13966E-003  5.22281E-007  1.56738E-006  3.21278E-006  2.91916E-006  6.87153E-006  1.65399E-008  1.35363E+000
   3600  0.00000E+00  0.00000E+000  3.53512E-019  3.57944E-015 -8.05356E-016 -1.34218E-015  6.74820E-005 -8.30438E-005  1.14950E-003  5.15129E-007  1.56469E-006  3.19755E-006  2.90890E-006  6.87175E-006  1.66978E-008  1.35337E+000
   3700  0.00000E+00  0.00000E+000  3.53361E-019  3.72581E-015 -9.84288E-016 -1.45648E-015  7.22659E-005 -8.52927E-005  1.16092E-003  5.09927E-007  1.56268E-006  3.18810E-006  2.90236E-006  6.87543E-006  1.65412E-008  1.35293E+000
   3800  0.00000E+00  0.00000E+000  3.53190E-019  3.95982E-015 -9.90796E-016 -1.61615E-015  7.31326E-005 -8.49225E-005  1.18127E-003  5.06027E-007  1.56327E-006  3.17797E-006  2.89632E-006  6.88951E-006  1.66670E-008  1.35285E+000
   3900  0.00000E+00  0.00000E+000  3.53112E-019  4.11159E-015 -1.05170E-015 -1.65467E-015  7.65177E-005 -8.65039E-005  1.19224E-003  5.00212E-007  1.56328E-006  3.16428E-006  2.88727E-006  6.89575E-006  1.67724E-008  1.35290E+000
   4000  0.00000E+00  0.00000E+000  3.52967E-019  4.15556E-015 -1.09194E-015 -1.65956E-015  8.05536E-005 -8.95892E-005  1.20113E-003  4.95003E-007  1.56162E-006  3.15436E-006  2.88038E-006  6.89901E-006  1.68074E-008  1.35281E+000
   4100  0.00000E+00  0.00000E+000  3.52821E-019  4.32739E-015 -9.77215E-016 -1.80906E-015  8.08892E-005 -8.98519E-005  1.21918E-003  4.91685E-007  1.56227E-006  3.14614E-006  2.87506E-006  6.91194E-006  1.68598E-008  1.35293E+000
   4200  0.00000E+00  0.00000E+000  3.52720E-019  4.37479E-015 -9.08561E-016 -1.91092E-015  8.24336E-005 -9.07979E-005  1.23173E-003  4.87185E-007  1.56307E-006  3.13453E-006  2.86738E-006  6.92296E-006  1.70571E-008  1.35287E+000
   4300  0.00000E+00  0.00000E+000  3.52603E-019  4.38633E-015 -9.16271E-016 -1.90955E-015  8.56545E-005 -9.30769E-005  1.24007E-003  4.82337E-007  1.56153E-006  3.12432E-006  2.86017E-006  6.92749E-006  1.72221E-008  1.35291E+000
   4400  0.00000E+00  0.00000E+000  3.52462E-019  4.44611E-015 -8.67575E-016 -2.10166E-015  8.67547E-005 -9.44738E-005  1.25433E-003  4.78981E-007  1.56100E-006  3.11662E-006  2.85451E-006  6.93689E-006  1.73059E-008  1.35308E+000
   4500  0.00000E+00  0.00000E+000  3.52348E-019  4.49521E-015 -8.21765E-016 -2.25415E-015  8.66542E-005 -9.45597E-005  1.26868E-003  4.75369E-007  1.56124E-006  3.10690E-006  2.84794E-006  6.94915E-006  1.75331E-008  1.35315E+000
   4600  0.00000E+00  0.00000E+000  3.52248E-019  4.50051E-015 -9.06709E-016 -2.30719E-015  8.88048E-005 -9.69429E-005  1.27667E-003  4.70856E-007  1.55943E-006  3.09633E-006  2.84035E-006  6.95334E-006  1.77503E-008  1.35315E+000
   4700  0.00000E+00  0.00000E+000  3.52123E-019  4.50506E-015 -9.74559E-016 -2.49853E-015  9.02073E-005 -9.88633E-005  1.28701E-003  4.67337E-007  1.55789E-006  3.08853E-006  2.83442E-006  6.95887E-006  1.78057E-008  1.35318E+000
   4800  0.00000E+00  0.00000E+000  3.51999E-019  4.54196E-015 -1.00150E-015 -2.67227E-015  8.93318E-005 -9.92990E-005  1.30183E-003  4.64081E-007  1.55727E-006  3.07997E-006  2.82871E-006  6.96918E-006  1.79789E-008  1.35313E+000
   4900  0.00000E+00  0.00000E+000  3.51914E-019  4.55589E-015 -1.10553E-015 -2.76834E-015  9.04893E-005 -1.01237E-004  1.30964E-003  4.59898E-007  1.55578E-006  3.06971E-006  2.82164E-006  6.97325E-006  1.80844E-008  1.35309E+000
   5000  0.00000E+00  0.00000E+000  3.51802E-019  4.54544E-015 -1.23184E-015 -2.88767E-015  9.19233E-005 -1.03464E-004  1.31724E-003  4.56154E-007  1.55380E-006  3.06155E-006  2.81589E-006  6.97645E-006  1.81444E-008  1.35296E+000
   5100  0.00000E+00  0.00000E+000  3.51685E-019  4.60757E-015 -1.28694E-015 -3.07614E-015  9.14385E-005 -1.04140E-004  1.33017E-003  4.53012E-007  1.55293E-006  3.05389E-006  2.81091E-006  6.98414E-006  1.82007E-008  1.35282E+000
   5200  0.00000E+00  0.00000E+000  3.51599E-019  4.65957E-015 -1.35848E-015 -3.14943E-015  9.16152E-005 -1.05353E-004  1.33830E-003  4.49269E-007  1.55189E-006  3.04459E-006  2.80496E-006  6.98951E-006  1.82702E-008  1.35273E+000
   5300  0.00000E+00  0.00000E+000  3.51505E-019  4.68672E-015 -1.47459E-015 -3.21997E-015  9.28560E-005 -1.07099E-004  1.34389E-003  4.45594E-007  1.55007E-006  3.03630E-006  2.79939E-006  6.99181E-006  1.83120E-008  1.35277E+000
