count,year,mo,dy,hr,mn,sc,Rho,V_tot,Temperature,B_tot
107.0,2018.0,8.0,31.0,9.0,0.0,0.0,8.6000003815,391.0,54508.0,4.4000000954
108.0,2018.0,8.0,31.0,10.0,0.0,0.0,11.5,386.0,59580.0,2.2999999523
109.0,2018.0,8.0,31.0,11.0,0.0,0.0,9.6999998093,382.0,43482.0,4.9000000954
110.0,2018.0,8.0,31.0,12.0,0.0,0.0,9.8000001907,378.0,48509.0,5.0
111.0,2018.0,8.0,31.0,13.0,0.0,0.0,10.199999809,375.0,48109.0,5.3000001907
112.0,2018.0,8.0,31.0,14.0,0.0,0.0,7.1999998093,384.0,45970.0,6.3000001907
113.0,2018.0,8.0,31.0,15.0,0.0,0.0,7.0,375.0,47211.0,6.5
114.0,2018.0,8.0,31.0,16.0,0.0,0.0,6.8000001907,371.0,56523.0,7.3000001907
115.0,2018.0,8.0,31.0,17.0,0.0,0.0,7.5,371.0,47334.0,7.9000000954
116.0,2018.0,8.0,31.0,18.0,0.0,0.0,8.8999996185,374.0,46419.0,6.4000000954
117.0,2018.0,8.0,31.0,19.0,0.0,0.0,10.5,393.0,48741.0,4.8000001907
118.0,2018.0,8.0,31.0,20.0,0.0,0.0,7.4000000954,391.0,59849.0,5.0999999046
119.0,2018.0,8.0,31.0,21.0,0.0,0.0,6.0999999046,390.0,45919.0,5.6999998093
120.0,2018.0,8.0,31.0,22.0,0.0,0.0,5.0999999046,391.0,47492.0,5.5999999046
121.0,2018.0,8.0,31.0,23.0,0.0,0.0,4.3000001907,395.0,48783.0,5.5
122.0,2018.0,9.0,1.0,0.0,0.0,0.0,5.4000000954,383.0,49437.0,4.6999998093
123.0,2018.0,9.0,1.0,1.0,0.0,0.0,5.8000001907,372.0,48146.0,3.7000000477
124.0,2018.0,9.0,1.0,2.0,0.0,0.0,5.8000001907,372.0,46082.0,3.4000000954
125.0,2018.0,9.0,1.0,3.0,0.0,0.0,6.3000001907,374.0,46079.0,3.0999999046
126.0,2018.0,9.0,1.0,4.0,0.0,0.0,6.5999999046,375.0,49812.0,3.2000000477
127.0,2018.0,9.0,1.0,5.0,0.0,0.0,6.0999999046,384.0,44101.0,3.9000000954
128.0,2018.0,9.0,1.0,6.0,0.0,0.0,6.5,383.0,45790.0,3.5999999046
129.0,2018.0,9.0,1.0,7.0,0.0,0.0,7.0999999046,382.0,41225.0,3.5
130.0,2018.0,9.0,1.0,8.0,0.0,0.0,7.0999999046,387.0,31630.0,3.5
131.0,2018.0,9.0,1.0,9.0,0.0,0.0,7.5,384.0,28849.0,3.2000000477
132.0,2018.0,9.0,1.0,10.0,0.0,0.0,6.8000001907,379.0,31230.0,3.5
133.0,2018.0,9.0,1.0,11.0,0.0,0.0,6.0,382.0,42516.0,4.0
134.0,2018.0,9.0,1.0,12.0,0.0,0.0,4.9000000954,393.0,51126.0,4.0
135.0,2018.0,9.0,1.0,13.0,0.0,0.0,5.5999999046,395.0,54418.0,3.2999999523
136.0,2018.0,9.0,1.0,14.0,0.0,0.0,5.4000000954,382.0,51173.0,3.5999999046
137.0,2018.0,9.0,1.0,15.0,0.0,0.0,5.0,378.0,41091.0,3.4000000954
138.0,2018.0,9.0,1.0,16.0,0.0,0.0,4.6999998093,373.0,34680.0,3.5999999046
139.0,2018.0,9.0,1.0,17.0,0.0,0.0,4.5,372.0,40971.0,3.0999999046
140.0,2018.0,9.0,1.0,18.0,0.0,0.0,4.1999998093,367.0,46029.0,3.0
141.0,2018.0,9.0,1.0,19.0,0.0,0.0,4.4000000954,366.0,39579.0,3.2999999523
142.0,2018.0,9.0,1.0,20.0,0.0,0.0,4.5,365.0,38570.0,3.2999999523
143.0,2018.0,9.0,1.0,21.0,0.0,0.0,5.3000001907,364.0,37379.0,3.2000000477
144.0,2018.0,9.0,1.0,22.0,0.0,0.0,6.0,361.0,32697.0,3.0
145.0,2018.0,9.0,1.0,23.0,0.0,0.0,6.8000001907,359.0,27298.0,2.7000000477
146.0,2018.0,9.0,2.0,0.0,0.0,0.0,6.5999999046,353.0,25973.0,2.5999999046
147.0,2018.0,9.0,2.0,1.0,0.0,0.0,7.8000001907,353.0,20395.0,2.2000000477
148.0,2018.0,9.0,2.0,2.0,0.0,0.0,9.6999998093,351.0,15456.0,1.2999999523
149.0,2018.0,9.0,2.0,3.0,0.0,0.0,10.300000191,355.0,15924.0,1.5
150.0,2018.0,9.0,2.0,4.0,0.0,0.0,11.0,348.0,17256.0,1.2999999523
151.0,2018.0,9.0,2.0,5.0,0.0,0.0,11.300000191,344.0,18000.0,1.5
152.0,2018.0,9.0,2.0,6.0,0.0,0.0,11.699999809,339.0,17373.0,1.6000000238
153.0,2018.0,9.0,2.0,7.0,0.0,0.0,12.199999809,335.0,17146.0,1.3999999762
154.0,2018.0,9.0,2.0,8.0,0.0,0.0,9.6000003815,331.0,18380.0,2.7000000477
155.0,2018.0,9.0,2.0,9.0,0.0,0.0,9.3000001907,324.0,14663.0,2.7999999523
156.0,2018.0,9.0,2.0,10.0,0.0,0.0,9.6000003815,321.0,16223.0,2.5
157.0,2018.0,9.0,2.0,11.0,0.0,0.0,7.3000001907,319.0,19216.0,3.0999999046
158.0,2018.0,9.0,2.0,12.0,0.0,0.0,7.0,317.0,18379.0,3.2999999523
159.0,2018.0,9.0,2.0,13.0,0.0,0.0,8.1000003815,315.0,20015.0,3.0999999046
160.0,2018.0,9.0,2.0,14.0,0.0,0.0,8.0,317.0,21856.0,3.7000000477
161.0,2018.0,9.0,2.0,15.0,0.0,0.0,5.5999999046,336.0,34471.0,4.6999998093
162.0,2018.0,9.0,2.0,16.0,0.0,0.0,8.1000003815,342.0,35911.0,4.1999998093
163.0,2018.0,9.0,2.0,17.0,0.0,0.0,9.3999996185,347.0,30764.0,4.0999999046
164.0,2018.0,9.0,2.0,18.0,0.0,0.0,9.1000003815,345.0,39320.0,3.2000000477
165.0,2018.0,9.0,2.0,19.0,0.0,0.0,9.3000001907,348.0,46621.0,2.7000000477
166.0,2018.0,9.0,2.0,20.0,0.0,0.0,9.0,346.0,41432.0,3.9000000954
167.0,2018.0,9.0,2.0,21.0,0.0,0.0,9.0,336.0,28887.0,4.4000000954
168.0,2018.0,9.0,2.0,22.0,0.0,0.0,11.600000381,351.0,31913.0,3.4000000954
169.0,2018.0,9.0,2.0,23.0,0.0,0.0,13.399999619,353.0,29484.0,2.2999999523
170.0,2018.0,9.0,3.0,0.0,0.0,0.0,14.399999619,343.0,23755.0,1.2000000477
171.0,2018.0,9.0,3.0,1.0,0.0,0.0,13.5,339.0,23299.0,1.7000000477
172.0,2018.0,9.0,3.0,2.0,0.0,0.0,12.399999619,341.0,24588.0,1.5
173.0,2018.0,9.0,3.0,3.0,0.0,0.0,10.699999809,342.0,26795.0,2.7999999523
174.0,2018.0,9.0,3.0,4.0,0.0,0.0,8.6999998093,340.0,27130.0,4.8000001907
175.0,2018.0,9.0,3.0,5.0,0.0,0.0,10.199999809,337.0,23087.0,3.9000000954
176.0,2018.0,9.0,3.0,6.0,0.0,0.0,11.899999619,337.0,20645.0,2.0
177.0,2018.0,9.0,3.0,7.0,0.0,0.0,12.800000191,343.0,25444.0,2.5
178.0,2018.0,9.0,3.0,8.0,0.0,0.0,12.800000191,340.0,25527.0,2.0999999046
179.0,2018.0,9.0,3.0,9.0,0.0,0.0,12.300000191,344.0,20110.0,2.5999999046
180.0,2018.0,9.0,3.0,10.0,0.0,0.0,11.0,340.0,22990.0,3.0999999046
181.0,2018.0,9.0,3.0,11.0,0.0,0.0,9.6000003815,340.0,20960.0,3.4000000954
182.0,2018.0,9.0,3.0,12.0,0.0,0.0,9.1999998093,336.0,22333.0,3.4000000954
183.0,2018.0,9.0,3.0,13.0,0.0,0.0,9.1999998093,335.0,18526.0,3.2000000477
184.0,2018.0,9.0,3.0,14.0,0.0,0.0,8.6999998093,341.0,24037.0,3.5999999046
185.0,2018.0,9.0,3.0,15.0,0.0,0.0,9.6000003815,344.0,36239.0,4.0
186.0,2018.0,9.0,3.0,16.0,0.0,0.0,10.300000191,341.0,48214.0,3.7000000477
187.0,2018.0,9.0,3.0,17.0,0.0,0.0,12.300000191,345.0,51651.0,3.0999999046
188.0,2018.0,9.0,3.0,18.0,0.0,0.0,15.0,350.0,26384.0,2.4000000954
189.0,2018.0,9.0,3.0,19.0,0.0,0.0,12.399999619,349.0,25561.0,2.5999999046
190.0,2018.0,9.0,3.0,20.0,0.0,0.0,13.399999619,344.0,19835.0,3.2000000477
191.0,2018.0,9.0,3.0,21.0,0.0,0.0,13.199999809,340.0,17445.0,2.4000000954
192.0,2018.0,9.0,3.0,22.0,0.0,0.0,12.5,339.0,20697.0,2.0
193.0,2018.0,9.0,3.0,23.0,0.0,0.0,14.300000191,339.0,24252.0,2.7000000477
194.0,2018.0,9.0,4.0,0.0,0.0,0.0,23.299999237,346.0,32489.0,4.0999999046
195.0,2018.0,9.0,4.0,1.0,0.0,0.0,25.100000381,356.0,33840.0,4.5999999046
196.0,2018.0,9.0,4.0,2.0,0.0,0.0,20.799999237,359.0,45090.0,5.1999998093
197.0,2018.0,9.0,4.0,3.0,0.0,0.0,17.399999619,357.0,38751.0,5.5
198.0,2018.0,9.0,4.0,4.0,0.0,0.0,14.600000381,357.0,33852.0,4.8000001907
199.0,2018.0,9.0,4.0,5.0,0.0,0.0,8.6000003815,359.0,22570.0,7.1999998093
200.0,2018.0,9.0,4.0,6.0,0.0,0.0,17.299999237,353.0,30435.0,4.1999998093
201.0,2018.0,9.0,4.0,7.0,0.0,0.0,12.300000191,365.0,52072.0,5.0
202.0,2018.0,9.0,4.0,8.0,0.0,0.0,9.3999996185,370.0,57822.0,5.1999998093
203.0,2018.0,9.0,4.0,9.0,0.0,0.0,8.6000003815,368.0,53667.0,4.6999998093
204.0,2018.0,9.0,4.0,10.0,0.0,0.0,9.6000003815,374.0,56644.0,3.9000000954
205.0,2018.0,9.0,4.0,11.0,0.0,0.0,10.399999619,382.0,65271.0,3.7999999523
206.0,2018.0,9.0,4.0,12.0,0.0,0.0,10.0,389.0,71798.0,4.5
207.0,2018.0,9.0,4.0,13.0,0.0,0.0,13.300000191,398.0,85676.0,4.0999999046
208.0,2018.0,9.0,4.0,14.0,0.0,0.0,13.199999809,394.0,87411.0,5.0
209.0,2018.0,9.0,4.0,15.0,0.0,0.0,10.100000381,393.0,65730.0,7.0
210.0,2018.0,9.0,4.0,16.0,0.0,0.0,7.9000000954,399.0,60503.0,7.1999998093
211.0,2018.0,9.0,4.0,17.0,0.0,0.0,7.4000000954,405.0,68687.0,6.5
212.0,2018.0,9.0,4.0,18.0,0.0,0.0,7.3000001907,423.0,83852.0,6.4000000954
213.0,2018.0,9.0,4.0,19.0,0.0,0.0,7.4000000954,422.0,86977.0,5.9000000954
214.0,2018.0,9.0,4.0,20.0,0.0,0.0,6.8000001907,413.0,75785.0,5.5999999046
215.0,2018.0,9.0,4.0,21.0,0.0,0.0,5.6999998093,417.0,65375.0,5.4000000954
216.0,2018.0,9.0,4.0,22.0,0.0,0.0,5.1999998093,418.0,75439.0,5.5
217.0,2018.0,9.0,4.0,23.0,0.0,0.0,4.5,416.0,68107.0,5.3000001907
218.0,2018.0,9.0,5.0,0.0,0.0,0.0,4.0999999046,427.0,64615.0,4.6999998093
219.0,2018.0,9.0,5.0,1.0,0.0,0.0,5.3000001907,467.0,81634.0,5.0999999046
220.0,2018.0,9.0,5.0,2.0,0.0,0.0,6.0999999046,473.0,78504.0,6.5
221.0,2018.0,9.0,5.0,3.0,0.0,0.0,7.8000001907,473.0,101253.0,5.5
222.0,2018.0,9.0,5.0,4.0,0.0,0.0,7.6999998093,478.0,100654.0,5.5999999046
223.0,2018.0,9.0,5.0,5.0,0.0,0.0,6.0,466.0,87806.0,6.4000000954
224.0,2018.0,9.0,5.0,6.0,0.0,0.0,7.8000001907,469.0,116602.0,3.7999999523
225.0,2018.0,9.0,5.0,7.0,0.0,0.0,6.5,480.0,123391.0,4.5999999046
226.0,2018.0,9.0,5.0,8.0,0.0,0.0,6.3000001907,476.0,124091.0,3.7999999523
227.0,2018.0,9.0,5.0,9.0,0.0,0.0,5.4000000954,474.0,122523.0,4.1999998093
228.0,2018.0,9.0,5.0,10.0,0.0,0.0,3.5999999046,475.0,174702.0,4.9000000954
229.0,2018.0,9.0,5.0,11.0,0.0,0.0,3.7999999523,475.0,167158.0,3.9000000954
230.0,2018.0,9.0,5.0,12.0,0.0,0.0,4.0,472.0,167872.0,3.7000000477
231.0,2018.0,9.0,5.0,13.0,0.0,0.0,3.5999999046,484.0,174591.0,5.1999998093
232.0,2018.0,9.0,5.0,14.0,0.0,0.0,2.7999999523,469.0,145394.0,5.5
233.0,2018.0,9.0,5.0,15.0,0.0,0.0,3.5,469.0,169108.0,4.3000001907
234.0,2018.0,9.0,5.0,16.0,0.0,0.0,3.4000000954,461.0,148344.0,4.5999999046
235.0,2018.0,9.0,5.0,17.0,0.0,0.0,3.5999999046,460.0,169254.0,3.5999999046
