BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes
1.371176471,1.52941e18,1.050980392e6,156397.0588,0.231176471,6.507352941,1.170098039,6.0,1.0,1.0,1
2.101764706,2.68235e18,811764.7059,86250.0,0.286470588,9.522058824,1.004411765,4.0,1.0,2.0,1
1.847647059,3.97647e18,705882.3529,219926.4706,0.104117647,7.071078431,1.162254902,5.0,1.0,1.0,1
2.091176471,1.01176e18,1.015686275e6,295367.6471,0.134705882,8.884803922,1.095588235,8.0,1.0,2.0,1
1.413529412,4.09412e18,615686.2745,178897.0588,0.271176471,5.772058824,1.114215686,12.0,1.0,1.0,1
1.424117647,3.48235e18,925490.1961,59779.41176,0.140588235,6.678921569,1.145588235,9.0,1.0,2.0,1
1.434705882,2.25882e18,717647.0588,259632.3529,0.15,8.958333333,1.044607843,1.0,1.0,1.0,1
1.445294118,1.67059e18,1.094117647e6,39926.47059,0.168823529,8.639705882,1.017156863,7.0,1.0,2.0,1
1.455882353,4.28235e18,941176.4706,33308.82353,0.33,7.022058824,1.069117647,7.0,1.0,1.0,1
1.582941176,3.83529e18,1.054901961e6,251691.1765,0.185294118,7.56127451,1.109313725,6.0,1.0,2.0,1
1.477058824,3.62353e18,513725.4902,206691.1765,0.120588235,9.571078431,1.030882353,4.0,1.0,1.0,1
1.487647059,4.49412e18,886274.5098,103455.8824,0.257058824,9.963235294,1.18872549,2.0,1.0,2.0,1
1.498235294,5.88235e17,694117.6471,231838.2353,0.173529412,5.698529412,1.133823529,6.0,1.0,1.0,1
1.508823529,3.24706e18,894117.6471,153750.0,0.284117647,5.134803922,1.03872549,8.0,1.0,2.0,1
1.540588235,3.57647e18,721568.6275,280808.8235,0.324117647,6.433823529,1.120098039,4.0,1.0,1.0,1
1.519411765,4.21176e18,643137.2549,263602.9412,0.113529412,8.394607843,1.08872549,9.0,1.0,2.0,1
1.53,2.61176e18,627450.9804,54485.29412,0.197058824,6.850490196,1.048529412,12.0,1.0,1.0,1
1.551176471,4.70588e17,737254.902,70367.64706,0.251176471,9.767156863,1.082843137,6.0,1.0,2.0,1
1.699411765,2.44706e18,1.090196078e6,144485.2941,0.301764706,5.992647059,1.077941176,3.0,1.0,1.0,1
1.572352941,1.2e18,325490.1961,166985.2941,0.273529412,6.262254902,1.01127451,7.0,1.0,2.0,1
1.794705882,1.48235e18,733333.3333,177573.5294,0.115882353,5.404411765,1.059313725,8.0,1.0,1.0,1
1.593529412,4.4e18,388235.2941,140514.7059,0.180588235,9.154411765,1.025980392,2.0,1.0,2.0,1
1.657058824,3.52941e17,870588.2353,197426.4706,0.280588235,6.090686275,1.189705882,7.0,1.0,1.0,1
1.614705882,3.10588e18,600000.0,299338.2353,0.157058824,9.816176471,1.146568627,6.0,1.0,2.0,1
0.778235294,4.91765e18,1.078431373e6,112720.5882,0.241764706,5.74754902,1.066176471,5.0,2.0,1.0,1
