,BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl
99,1.794705882,1.482350E+18,733333.3333,177573.5294,0.115882353,5.404411765,1.059313725,0.727272727,1,1
100,1.593529412,4.400000E+18,388235.2941,140514.7059,0.180588235,9.154411765,1.025980392,0.090909091,1,2
101,1.657058824,3.529410E+17,870588.2353,197426.4706,0.280588235,6.090686275,1.189705882,0.636363636,1,1
102,1.614705882,3.105880E+18,6.00E+05,299338.2353,0.157058824,9.816176471,1.146568627,0.545454545,1,2
103,0.778235294,4.917650E+18,1078431.373,112720.5882,0.241764706,5.74754902,1.066176471,0.363636364,2,1
104,1.625294118,1.035290E+18,937254.902,136544.1176,0.201764706,6.99754902,1.135784314,0.090909091,2,2
105,0.820588235,3.717650E+18,752941.1765,176250,0.319411765,8.443627451,1.164215686,0.909090909,2,1
106,1.604117647,2.988240E+18,498039.2157,50514.70588,0.112352941,6.18872549,1.181862745,0.454545455,2,2
107,1.561764706,2.117650E+18,996078.4314,185514.7059,0.191176471,9.669117647,1.000490196,0.454545455,2,1
108,1.678235294,4.658820E+18,898039.2157,275514.7059,0.178235294,6.703431373,1.056372549,0.181818182,2,2
109,1.307647059,8.941180E+17,443137.2549,205367.6471,0.137058824,5.110294118,1.166176471,0.818181818,2,1
110,1.667647059,1.364710E+18,745098.0392,31985.29412,0.142941176,9.203431373,1.126960784,0.727272727,2,2
111,1.71,3.058820E+17,823529.4118,161691.1765,0.125294118,7.610294118,1.091666667,1,2,1
112,1.720588235,8.000000E+17,541176.4706,241102.9412,0.267647059,8.321078431,1.129901961,1,2,2
113,1.731176471,2.964710E+18,301960.7843,194779.4118,0.312352941,5.330882353,1.137745098,0.545454545,2,1
114,1.741764706,2.588240E+18,854901.9608,125955.8824,0.106470588,5.551470588,1.009313725,0.545454545,2,2
115,1.402941176,2.117650E+17,333333.3333,132573.5294,0.158235294,6.776960784,1.058333333,0.272727273,2,1
116,1.466470588,1.788240E+18,411764.7059,160367.6471,0.325294118,8.909313725,1.182843137,1,2,2
117,1.752352941,2.000000E+18,396078.4314,34632.35294,0.266470588,6.409313725,1.092647059,0.363636364,2,1
118,0.947647059,2.211760E+18,1066666.667,260955.8824,0.255882353,6.580882353,1.122058824,1,2,2
119,1.837058824,2.305880E+18,921568.6275,111397.0588,0.274705882,9.178921569,1.029901961,0.727272727,2,1
120,1.805294118,3.529410E+18,474509.8039,168308.8235,0.287647059,6.825980392,1.192647059,0.181818182,2,2
121,1.815882353,9.411760E+17,862745.098,234485.2941,0.144117647,6.335784314,1.079901961,0,2,1
122,1.826470588,4.800000E+18,611764.7059,145808.8235,0.222941176,7.463235294,1.018137255,0.818181818,2,2
123,1.784117647,3.341180E+18,1043137.255,102132.3529,0.160588235,8.370098039,1.125,0.818181818,2,1
124,1.773529412,1.152940E+18,670588.2353,84926.47059,0.19,7.855392157,1.195588235,0.545454545,2,2
125,1.858235294,4.870590E+18,447058.8235,292720.5882,0.145294118,7.953431373,1.116176471,0.727272727,2,1
126,1.868823529,2.588240E+17,486274.5098,218602.9412,0.177058824,8.468137255,1.037745098,0,2,2
127,1.286470588,4.964710E+18,517647.0588,47867.64706,0.291176471,6.629901961,1.041666667,0,2,1
128,1.17,8.470590E+17,678431.3725,192132.3529,0.285294118,7.193627451,1.060294118,0.454545455,2,2
129,1.900588235,1.905880E+18,839215.6863,152426.4706,0.214705882,8.664215686,1.143627451,0.272727273,2,1
130,1.201764706,1.082350E+18,803921.5686,271544.1176,0.224117647,9.105392157,1.033823529,1,2,2
131,0.757058824,1.882350E+18,949019.6078,268897.0588,0.155882353,7.757352941,1.100490196,0.727272727,2,1
132,0.661764706,4.470590E+18,403921.5686,217279.4118,0.308823529,7.732843137,1.154411765,0.272727273,2,2
133,1.911176471,3.670590E+18,596078.4314,256985.2941,0.204117647,5.919117647,1.072058824,0.545454545,2,1
134,1.381764706,2.188240E+18,792156.8627,287426.4706,0.339411765,7.365196078,1.086764706,0.545454545,2,2
135,1.964117647,8.235290E+17,980392.1569,98161.76471,0.226470588,8.051470588,1.064215686,0.181818182,2,1
136,1.942941176,4.188240E+18,917647.0588,233161.7647,0.21,9.718137255,1.105392157,0.909090909,2,2
137,1.985294118,1.552940E+18,529411.7647,74338.23529,0.202941176,9.93872549,1.020098039,0.454545455,2,1
138,1.995882353,3.505880E+18,392156.8627,94191.17647,0.122941176,9.301470588,1.085784314,0.909090909,2,2
139,2.006470588,2.094120E+18,1007843.137,170955.8824,0.102941176,5.845588235,1.119117647,0.909090909,2,1
140,2.017058824,3.882350E+18,882352.9412,46544.11765,0.151176471,7.928921569,1.039705882,0.636363636,2,2
141,2.027647059,4.517650E+18,729411.7647,254338.2353,0.244117647,9.129901961,1.173039216,0.181818182,2,1
142,0.862941176,3.294120E+18,658823.5294,104779.4118,0.277058824,7.536764706,1.132843137,0,2,2
143,2.048823529,6.588240E+17,760784.3137,71691.17647,0.121764706,6.924019608,1.174019608,0.636363636,2,1
144,1.392352941,4.305880E+18,690196.0784,37279.41176,0.198235294,5.159313725,1.151470588,0.363636364,2,2
145,2.07,4.776470E+18,972549.0196,214632.3529,0.135882353,6.139705882,1.013235294,0.272727273,2,1
146,1.085294118,2.635290E+18,372549.0196,253014.7059,0.132352941,6.384803922,1.142647059,0.636363636,2,2
147,2.059411765,2.329410E+18,568627.451,182867.6471,0.25,6.556372549,1.055392157,0.181818182,2,1
148,1.953529412,1.247060E+18,584313.7255,42573.52941,0.320588235,7.267156863,1.098529412,1,2,2
149,1.974705882,3.788240E+18,686274.5098,120661.7647,0.314705882,5.50245098,1.035784314,0.181818182,2,1
150,2.122941176,4.941180E+18,576470.5882,110073.5294,0.174705882,8.933823529,1.149509804,0.272727273,2,2
151,2.154705882,3.152940E+18,329411.7647,137867.6471,0.246470588,8.075980392,1.185784314,1,2,1
152,2.144117647,4.447060E+18,1070588.235,129926.4706,0.11,6.875,1.074019608,1,2,2
153,2.133529412,1.458820E+18,435294.1176,210661.7647,0.23,7.340686275,1.031862745,0.909090909,2,1
154,2.165294118,1.764710E+18,635294.1176,284779.4118,0.119411765,5.625,1.153431373,0.727272727,2,2
155,1.318235294,3.858820E+18,360784.3137,267573.5294,0.326470588,9.25245098,1.073039216,0.090909091,2,1
156,2.186470588,1.952940E+18,607843.1373,202720.5882,0.265294118,9.987745098,1.179901961,0.272727273,2,2
157,2.197058824,3.764710E+18,537254.902,96838.23529,0.221764706,6.727941176,1.13872549,0.909090909,2,1
158,2.207647059,2.894120E+18,317647.0588,222573.5294,0.166470588,9.49754902,1.099509804,0.454545455,2,2
159,2.260588235,3.952940E+18,933333.3333,149779.4118,0.305294118,7.683823529,1.198529412,0.454545455,2,1
160,2.228823529,7.529410E+17,909803.9216,57132.35294,0.328823529,8.786764706,1.112254902,0.272727273,2,2
