Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,rMin_AWSoMR,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
44,4.594995817,0.54238346,1.078315269e6,250209.0088,0.118873314,1.074367543,1.07498305,0.090909091,1,1,86.99060589716632,13.636046735546879,4.435053943554193,46118.167020290086,-44,0.2,0.8
45,9.348514627,0.910358666,564439.1185,141376.3541,0.248540381,1.113928599,1.180343416,0.545454545,1,2,79.53625843643675,11.729727517069074,4.016323249174882,48430.661178035945,-8,0.2,0.8
46,2.397603425,1.194019284,494145.68,96298.45137,0.17160008,1.051076054,1.051120994,1.0,1,1,458.2858959740573,6234.642287753264,207.42456445256713,162843.43677464343,48,0.2,0.8
47,7.897955717,1.062850191,481887.2087,196798.2034,0.103485477,1.085578162,1.169164987,0.818181818,1,2,335.9241604446438,8.59147090896829,5.956790157020548,59438.3096443983,-48,0.2,0.8
48,3.154853396,0.728625982,773895.2288,71617.89002,0.22928352,1.101148024,1.151884326,0.272727273,1,1,335.9241604446438,8.59147090896829,5.956790157020548,59438.3096443983,-48,0.2,0.8
49,4.904499908,1.382652136,427772.4095,101614.8726,0.15260467,1.063905826,1.077010762,0.909090909,1,2,522.8026361568801,693.1848241246578,21.087802217161542,52631.367746324286,-1,0.2,0.8
50,6.864720904,0.588290271,507393.5457,51767.32768,0.319559502,1.062197703,1.078387618,0.636363636,1,1,92.84816104760233,6.221418734575186,4.816749564601714,52155.004911700096,7,0.2,0.8
51,6.079305375,1.657018582,312643.8769,87141.34956,0.281031437,1.127681336,1.190783413,0.090909091,1,2,288.67572059392285,795.2530274327939,20.40555007920222,41433.64311899603,12,0.2,0.8
52,7.255801999,1.230821962,382889.7864,200811.8056,0.23957862,1.096464254,1.184632397,0.636363636,1,1,101.91425940031573,15.060662852702244,3.981989063641717,45966.272405888,-18,0.2,0.8
53,0.547135,0.673189965,325994.6004,160997.5912,0.264330123,1.055662555,1.188427679,0.363636364,1,2,71.76692378466973,6.502264647067819,4.980777773481357,46583.22442083109,0,0.2,0.8
54,8.048381389,0.85698442,613039.5446,61487.11522,0.184420289,1.141887546,1.198048593,0.181818182,1,1,74.99685604276267,11.318859771060515,4.358552613553247,48653.27550580743,0,0.2,0.8
55,1.102807913,1.113422979,345538.4884,108702.1096,0.227626923,1.079031949,1.161340567,0.636363636,1,2,124.57256777194155,7.225976173274296,4.332999610584003,48934.76518144755,-9,0.2,0.8
56,6.700052693,0.792038661,388350.5721,189653.256,0.268317757,1.107700725,1.147306297,0.181818182,1,1,62.036230691762455,5.7111273966031915,4.690385379001176,48468.30154458784,0,0.2,0.8
57,4.363523689,0.94400175,444151.5323,153716.7206,0.129498867,1.066049407,1.171346817,0.454545455,1,2,111.28387760590616,9.365265984902319,4.298363953877381,47212.414715633226,-8,0.2,0.8
58,7.403303438,1.160360107,514432.7637,65896.30173,0.292516591,1.103319068,1.186208871,0.181818182,1,1,641.5190164485423,876.7021580279227,123.03436729470155,83820.13673016534,17,0.2,0.8
59,9.581207421,0.576290217,711543.6925,245282.9896,0.239833658,1.058481713,1.059513046,0.636363636,1,2,70.73994196227275,6.260928225442198,4.891245712157026,46823.80732090762,-40,0.2,0.8
60,0.399228109,0.739837369,569646.9497,299769.2922,0.331513257,1.109853833,1.135663169,0.090909091,1,1,87.07743826768412,5.5966006975940505,4.670117409081257,47833.29440951192,-25,0.2,0.8
61,1.849674925,0.554647572,477778.0103,38931.15221,0.200503458,1.103766032,1.182385449,0.363636364,1,2,104.22828266331398,5.808807998305397,4.897613206550974,42932.19414534384,-29,0.2,0.8
62,2.923383708,1.028943949,501685.2261,168108.7544,0.222525039,1.065937947,1.151247944,0.090909091,1,1,36.45202395044268,70.70405552489628,14.673412165252845,40906.81103453478,-18,0.2,0.8
63,5.972316328,1.346488173,431893.8019,255402.9641,0.17558394,1.13028789,1.195361691,0.454545455,1,2,87.55513570719931,16.771587065437014,4.0745807585304865,44266.87628106868,-4,0.2,0.8
64,3.626338711,1.465350089,376000.45,88690.06658,0.336607573,1.057979818,1.074072598,0.727272727,1,1,525.4434124999086,1981.9439037730383,156.0596957207741,96629.45454728659,-48,0.2,0.8
65,5.582133038,0.639547411,659170.7567,132173.5946,0.14341547,1.120710253,1.135620995,0.363636364,1,2,82.82644586008794,5.403830705091236,4.727983887110983,41034.78726885129,-33,0.2,0.8
66,9.196124824,0.97462491,332896.1575,277214.7699,0.287305746,1.09252999,1.168894063,0.818181818,1,1,60.643756629280375,5.826692611620084,4.575494705208819,47758.24144238223,-6,0.2,0.8
67,3.848378037,0.605220798,648864.7752,94730.53843,0.277348262,1.11416365,1.197819189,1.0,1,2,82.96370885222221,6.234853593163927,4.799610233178493,46579.255704068026,-45,0.2,0.8
68,6.902805008,1.365729909,315987.4372,141905.7985,0.204081089,1.099082312,1.16380862,0.181818182,1,1,119.60010298666074,13.210231374486092,4.000372129993316,44872.356485873286,-17,0.2,0.8
69,0.274669286,1.079615827,374348.367,223908.1111,0.179388179,1.05201916,1.182916171,0.363636364,1,2,99.08209062586288,10.38246230737433,4.270185682938948,47756.27255066675,-14,0.2,0.8
70,7.625987702,0.656374632,417771.4914,120473.3771,0.332795082,1.137669622,1.17606718,0.0,1,1,73.2263178940903,5.880645873986871,5.043395456348661,47793.01366299768,-43,0.2,0.8
71,4.551930283,1.247826845,473351.7483,173473.7608,0.283734482,1.072479191,1.13697291,0.363636364,1,2,689.9047829102209,3005.0312763751003,117.3441390037008,156950.92750760936,-48,0.2,0.8
72,6.511995883,0.99155104,593045.5163,265514.5189,0.116718307,1.075400001,1.144752296,0.181818182,1,1,77.19799285420635,22.044464545591264,3.8214316422027035,50028.02272142237,-11,0.2,0.8
73,0.982178142,0.609464795,796849.6766,183593.6769,0.105871712,1.063382566,1.164119861,1.0,1,2,94.34578111288842,10.22469846608676,4.45386877943192,46167.606657823606,-32,0.2,0.8
74,5.150052409,0.840296667,460701.0169,73187.22709,0.231321856,1.085473188,1.096315651,0.454545455,1,1,108.20937442050364,5.703303149405115,4.478789652847541,48909.63187725807,-8,0.2,0.8
75,8.998381062,0.77498852,534439.0063,201353.4035,0.19523766,1.090013158,1.091688047,0.545454545,1,2,91.87487918347792,6.019321554308327,4.458320129972808,48013.055987413354,-8,0.2,0.8
76,7.210976935,0.559367728,965444.7202,292843.1135,0.163018204,1.062064877,1.094978877,0.0,1,1,81.39518545820985,11.864269400700612,4.573151355907522,47847.94466949157,-39,0.2,0.8
77,9.388575221,1.2108014,362094.4729,54393.3067,0.125569303,1.133692794,1.186276013,0.0,1,2,113.85517631237502,14.357339929505478,4.028569274990328,46019.63545922246,-35,0.2,0.8
78,2.808664425,0.689024736,303246.0159,243970.0733,0.130869055,1.118281911,1.161287682,0.545454545,1,1,140.35590817299035,7.120363989107401,5.127268540723035,38611.75452807498,-10,0.2,0.8
79,3.801327203,1.541227231,334922.024,46846.62652,0.161241809,1.079506425,1.19911966,1.0,1,2,658.8729861068227,1337.1891771873063,207.50963714899152,124069.71833547716,-31,0.2,0.8
80,7.007276507,0.681802028,604913.3146,123589.789,0.238273666,1.1071984,1.17908507,1.0,1,1,87.00014010558345,6.416286890934461,4.793787857473186,48846.09708623409,-48,0.2,0.8
81,8.395735794,0.881747594,381199.7155,251722.9767,0.215284236,1.069928788,1.171795605,0.272727273,1,2,77.41345120556103,5.888872546683529,4.491631621446503,49452.521534711545,-3,0.2,0.8
82,2.973311015,0.566771469,863802.1968,143289.9436,0.325617198,1.120004146,1.189480755,1.0,1,1,77.76241210683224,8.71900103847468,4.667157282534273,48974.40404137888,-11,0.2,0.8
83,0.737298485,0.765649115,436311.722,80803.56063,0.300649154,1.057173004,1.095289985,1.0,1,2,97.224031640313,5.905377828118683,4.839295913465267,51457.36019487228,-22,0.2,0.8
84,4.661158298,0.83481356,562392.7521,226889.0931,0.159543117,1.11204183,1.130312325,0.545454545,1,1,86.98220444223476,7.211131695030947,4.405676493059758,42686.91263479141,-26,0.2,0.8
85,6.460245885,1.118735773,479022.5314,280931.7069,0.32282392,1.077818897,1.198961403,1.0,1,2,92.86793569991195,19.92959012061145,4.071465761780282,45985.42994600702,-15,0.2,0.8
86,3.210637553,0.98624832,491770.9183,111284.1341,0.252129815,1.07489428,1.132323838,0.818181818,1,1,127.33039362929546,10.7818846730723,4.0578519179786765,48863.24888948529,-7,0.2,0.8
87,0.141661724,1.73361007,310573.0912,271631.9062,0.190864115,1.135545111,1.183228303,0.181818182,1,2,54.833798960716166,10.529162363111817,3.8579064780217767,43223.67522180364,-10,0.2,0.8
88,2.177364575,0.646952136,516262.8885,240494.7015,0.171016329,1.051211593,1.152990963,0.454545455,1,1,84.82230830636968,5.922448308107559,4.892825430463175,43504.4564985333,-25,0.2,0.8
89,1.318158291,1.290546693,393551.2681,151040.0672,0.149746381,1.098278552,1.150737482,0.909090909,1,2,115.99457244180043,12.954360950541634,4.295401378921484,45698.91318789085,-7,0.2,0.8
90,5.859454374,0.597916833,347565.7854,214584.6217,0.113810795,1.059697866,1.105535627,0.727272727,1,1,130.58011661523105,7.25128884640128,5.208815629109017,43347.46098160966,-12,0.2,0.8
91,8.041537688,1.253056806,302001.7808,80082.82562,0.25605214,1.087643841,1.093589185,1.0,1,2,132.8281706474537,6.6208085066063544,4.619938762105968,49322.38333891737,9,0.2,0.8
92,4.780759183,0.630033923,357676.076,286011.2391,0.248007638,1.122550362,1.140622173,0.818181818,1,1,124.85992618607601,6.94581823728741,5.207429821701496,38342.753057706715,-12,0.2,0.8
93,7.434473112,1.017412737,400214.9371,47592.59449,0.146058857,1.086326528,1.19769042,1.0,1,2,217.993954301077,190.21382319284274,76.32974199332904,36666.827774632286,-39,0.2,0.8
94,1.430854478,0.702213107,742197.7978,209287.3474,0.275729565,1.101993057,1.178492299,0.272727273,1,1,83.77189358236919,11.639276828419979,4.463940396072078,48991.2120428138,-26,0.2,0.8
95,8.58859557,0.547236394,576465.0984,192600.7832,0.303102508,1.064238211,1.146223001,0.090909091,1,2,90.3890724986586,6.276851350439306,5.114106399145977,47883.32690077692,-38,0.2,0.8
96,9.950617703,0.732243969,471324.7374,145573.7496,0.165047061,1.070785181,1.148361894,0.818181818,1,1,83.84896627236273,6.049454688247157,4.612376520189205,51435.00027335519,-2,0.2,0.8
97,0.068870473,0.583603675,1.009890677e6,129414.5614,0.136296249,1.080359017,1.100499693,0.090909091,1,2,101.79863695842405,13.609141785143171,4.4464311430098835,46340.925136192716,-48,0.2,0.8
98,2.851937881,1.154941885,412570.3186,215972.229,0.21886291,1.116010254,1.180397441,0.909090909,1,1,81.15898123762858,11.69955897388065,3.996859851611583,46229.11565859137,-8,0.2,0.8
99,6.062158449,0.93255231,546038.1955,273706.9691,0.262097932,1.053743685,1.133905366,0.363636364,1,2,97.14678249313134,15.260531346348511,4.041652703745069,47150.12948865773,-15,0.2,0.8
