qoi,mapCR,model,t,value
Ur,GONG2208,AWSoM,260,431.0
Ur,GONG2208,AWSoM,261,419.0
Ur,GONG2208,AWSoM,262,411.0
Ur,GONG2208,AWSoM,263,414.0
Ur,GONG2208,AWSoM,264,414.0
Ur,GONG2208,AWSoM,265,406.0
Ur,GONG2208,AWSoM,266,400.0
Ur,GONG2208,AWSoM,267,400.0
Ur,GONG2208,AWSoM,268,399.0
Ur,GONG2208,AWSoM,269,393.0
Ur,GONG2208,AWSoM,270,391.0
Ur,GONG2208,AWSoM,271,390.0
Ur,GONG2208,AWSoM,272,392.0
Ur,GONG2208,AWSoM,273,393.0
Ur,GONG2208,AWSoM,274,392.0
Ur,GONG2208,AWSoM,275,392.0
Ur,GONG2208,AWSoM,276,389.0
Ur,GONG2208,AWSoM,277,385.0
Ur,GONG2208,AWSoM,278,384.0
Ur,GONG2208,AWSoM,279,379.0
Ur,GONG2208,AWSoM,280,378.0
Ur,GONG2208,AWSoM,281,391.0
Ur,GONG2208,AWSoM,282,396.0
Ur,GONG2208,AWSoM,283,401.0
Ur,GONG2208,AWSoM,284,391.0
Ur,GONG2208,AWSoM,285,382.0
Ur,GONG2208,AWSoM,286,389.0
Ur,GONG2208,AWSoM,287,419.0
Ur,GONG2208,AWSoM,288,427.0
Ur,GONG2208,AWSoM,289,436.0
Ur,GONG2208,AWSoM,290,480.0
Ur,GONG2208,AWSoM,291,481.0
Ur,GONG2208,AWSoM,292,482.0
Ur,GONG2208,AWSoM,293,485.0
Ur,GONG2208,AWSoM,294,479.0
Ur,GONG2208,AWSoM,295,488.0
Ur,GONG2208,AWSoM,296,480.0
Ur,GONG2208,AWSoM,297,460.0
Ur,GONG2208,AWSoM,298,451.0
Ur,GONG2208,AWSoM,299,432.0
Ur,GONG2208,AWSoM,300,428.0
Ur,GONG2208,AWSoM,301,427.0
Ur,GONG2208,AWSoM,302,423.0
Ur,GONG2208,AWSoM,303,418.0
Ur,GONG2208,AWSoM,304,418.0
Ur,GONG2208,AWSoM,305,408.0
Ur,GONG2208,AWSoM,306,412.0
Ur,GONG2208,AWSoM,307,401.0
Ur,GONG2208,AWSoM,308,385.0
Ur,GONG2208,AWSoM,309,378.0
Ur,GONG2208,AWSoM,310,373.0
Ur,GONG2208,AWSoM,311,374.0
Ur,GONG2208,AWSoM,312,376.0
Ur,GONG2208,AWSoM,313,369.0
Ur,GONG2208,AWSoM,314,380.0
Ur,GONG2208,AWSoM,315,382.0
Ur,GONG2208,AWSoM,316,383.0
Ur,GONG2208,AWSoM,317,376.0
Ur,GONG2208,AWSoM,318,360.0
Ur,GONG2208,AWSoM,319,358.0
Ur,GONG2208,AWSoM,320,365.0
Ur,GONG2208,AWSoM,321,374.0
Ur,GONG2208,AWSoM,322,377.0
Ur,GONG2208,AWSoM,323,372.0
Ur,GONG2208,AWSoM,324,370.0
Ur,GONG2208,AWSoM,325,383.0
Ur,GONG2208,AWSoM,326,381.0
Ur,GONG2208,AWSoM,327,403.0
Ur,GONG2208,AWSoM,328,398.0
Ur,GONG2208,AWSoM,329,407.0
Ur,GONG2208,AWSoM,330,401.0
Ur,GONG2208,AWSoM,331,399.0
Ur,GONG2208,AWSoM,332,405.0
Ur,GONG2208,AWSoM,333,396.0
Ur,GONG2208,AWSoM,334,383.0
Ur,GONG2208,AWSoM,335,384.0
Ur,GONG2208,AWSoM,336,391.0
Ur,GONG2208,AWSoM,337,391.0
Ur,GONG2208,AWSoM,338,392.0
Ur,GONG2208,AWSoM,339,388.0
Ur,GONG2208,AWSoM,340,376.0
Ur,GONG2208,AWSoM,341,378.0
Ur,GONG2208,AWSoM,342,377.0
Ur,GONG2208,AWSoM,343,374.0
Ur,GONG2208,AWSoM,344,370.0
Ur,GONG2208,AWSoM,345,365.0
Ur,GONG2208,AWSoM,346,368.0
Ur,GONG2208,AWSoM,347,368.0
Ur,GONG2208,AWSoM,348,363.0
Ur,GONG2208,AWSoM,349,360.0
Ur,GONG2208,AWSoM,350,371.0
Ur,GONG2208,AWSoM,351,372.0
Ur,GONG2208,AWSoM,352,375.0
Ur,GONG2208,AWSoM,353,398.0
Ur,GONG2208,AWSoM,354,413.0
Ur,GONG2208,AWSoM,355,405.0
Ur,GONG2208,AWSoM,356,398.0
Ur,GONG2208,AWSoM,357,395.0
Ur,GONG2208,AWSoM,358,391.0
Ur,GONG2208,AWSoM,359,379.0
Ur,GONG2208,AWSoM,360,369.0
Ur,GONG2208,AWSoM,361,370.0
Ur,GONG2208,AWSoM,362,361.0
Ur,GONG2208,AWSoM,363,352.0
Ur,GONG2208,AWSoM,364,350.0
Ur,GONG2208,AWSoM,365,353.0
Ur,GONG2208,AWSoM,366,361.0
Ur,GONG2208,AWSoM,367,375.0
Ur,GONG2208,AWSoM,368,375.0
Ur,GONG2208,AWSoM,369,380.0
Ur,GONG2208,AWSoM,370,381.0
Ur,GONG2208,AWSoM,371,382.0
Ur,GONG2208,AWSoM,372,402.0
Ur,GONG2208,AWSoM,373,402.0
Ur,GONG2208,AWSoM,374,402.0
Ur,GONG2208,AWSoM,375,408.0
Ur,GONG2208,AWSoM,376,432.0
Ur,GONG2208,AWSoM,377,477.0
Ur,GONG2208,AWSoM,378,498.0
Ur,GONG2208,AWSoM,379,489.0
Ur,GONG2208,AWSoM,380,501.0
Ur,GONG2208,AWSoM,381,512.0
Ur,GONG2208,AWSoM,382,553.0
Ur,GONG2208,AWSoM,383,555.0
Ur,GONG2208,AWSoM,384,563.0
Ur,GONG2208,AWSoM,385,570.0
Ur,GONG2208,AWSoM,386,552.0
Ur,GONG2208,AWSoM,387,557.0
Ur,GONG2208,AWSoM,388,549.0
Ur,GONG2208,AWSoM,389,547.0
Ur,GONG2208,AWSoM,390,565.0
Ur,GONG2208,AWSoM,391,554.0
Ur,GONG2208,AWSoM,392,549.0
Ur,GONG2208,AWSoM,393,548.0
Ur,GONG2208,AWSoM,394,552.0
Ur,GONG2208,AWSoM,395,557.0
Ur,GONG2208,AWSoM,396,555.0
Ur,GONG2208,AWSoM,397,555.0
Ur,GONG2208,AWSoM,398,545.0
Ur,GONG2208,AWSoM,399,549.0
Ur,GONG2208,AWSoM,400,549.0
Ur,GONG2208,AWSoM,401,537.0
Ur,GONG2208,AWSoM,402,556.0
Ur,GONG2208,AWSoM,403,544.0
Ur,GONG2208,AWSoM,404,537.0
Ur,GONG2208,AWSoM,405,528.0
Ur,GONG2208,AWSoM,406,522.0
Ur,GONG2208,AWSoM,407,530.0
Ur,GONG2208,AWSoM,408,531.0
Ur,GONG2208,AWSoM,409,519.0
Ur,GONG2208,AWSoM,410,555.0
Ur,GONG2208,AWSoM,411,531.0
Ur,GONG2208,AWSoM,412,510.0
Ur,GONG2208,AWSoM,413,507.0
Ur,GONG2208,AWSoM,414,533.0
Ur,GONG2208,AWSoM,415,519.0
Ur,GONG2208,AWSoM,416,496.0
Ur,GONG2208,AWSoM,417,514.0
Ur,GONG2208,AWSoM,418,498.0
Ur,GONG2208,AWSoM,419,480.0
Ur,GONG2208,AWSoM,420,477.0
Ur,GONG2208,AWSoM,421,498.0
Ur,GONG2208,AWSoM,422,489.0
Ur,GONG2208,AWSoM,423,474.0
Ur,GONG2208,AWSoM,424,482.0
Ur,GONG2208,AWSoM,425,498.0
Ur,GONG2208,AWSoM,426,491.0
Ur,GONG2208,AWSoM,427,486.0
Ur,GONG2208,AWSoM,428,485.0
Ur,GONG2208,AWSoM,429,487.0
Ur,GONG2208,AWSoM,430,486.0
Ur,GONG2208,AWSoM,431,477.0
Ur,GONG2208,AWSoM,432,478.0
Ur,GONG2208,AWSoM,433,477.0
Ur,GONG2208,AWSoM,434,479.0
Ur,GONG2208,AWSoM,435,484.0
Ur,GONG2208,AWSoM,436,484.0
Ur,GONG2208,AWSoM,437,473.0
Ur,GONG2208,AWSoM,438,481.0
Ur,GONG2208,AWSoM,439,488.0
Ur,GONG2208,AWSoM,440,464.0
Ur,GONG2208,AWSoM,441,476.0
Ur,GONG2208,AWSoM,442,493.0
Ur,GONG2208,AWSoM,443,499.0
Ur,GONG2208,AWSoM,444,512.0
Ur,GONG2208,AWSoM,445,524.0
Ur,GONG2208,AWSoM,446,526.0
Ur,GONG2208,AWSoM,447,514.0
Ur,GONG2208,AWSoM,448,513.0
Ur,GONG2208,AWSoM,449,531.0
Ur,GONG2208,AWSoM,450,551.0
Ur,GONG2208,AWSoM,451,565.0
Ur,GONG2208,AWSoM,452,568.0
Ur,GONG2208,AWSoM,453,564.0
Ur,GONG2208,AWSoM,454,544.0
Ur,GONG2208,AWSoM,455,546.0
Ur,GONG2208,AWSoM,456,546.0
Ur,GONG2208,AWSoM,457,554.0
Ur,GONG2208,AWSoM,458,558.0
Ur,GONG2208,AWSoM,459,551.0
Ur,GONG2208,AWSoM,460,551.0
Ur,GONG2208,AWSoM,461,547.0
Ur,GONG2208,AWSoM,462,546.0
Ur,GONG2208,AWSoM,463,543.0
Ur,GONG2208,AWSoM,464,541.0
Ur,GONG2208,AWSoM,465,533.0
Ur,GONG2208,AWSoM,466,545.0
Ur,GONG2208,AWSoM,467,548.0
Ur,GONG2208,AWSoM,468,586.0
Ur,GONG2208,AWSoM,469,602.0
Ur,GONG2208,AWSoM,470,597.0
Ur,GONG2208,AWSoM,471,631.0
Ur,GONG2208,AWSoM,472,671.0
Ur,GONG2208,AWSoM,473,669.0
Ur,GONG2208,AWSoM,474,688.0
Ur,GONG2208,AWSoM,475,679.0
Ur,GONG2208,AWSoM,476,670.0
Ur,GONG2208,AWSoM,477,646.0
Ur,GONG2208,AWSoM,478,618.0
Ur,GONG2208,AWSoM,479,600.0
Ur,GONG2208,AWSoM,480,577.0
Ur,GONG2208,AWSoM,481,573.0
Ur,GONG2208,AWSoM,482,575.0
Ur,GONG2208,AWSoM,483,560.0
Ur,GONG2208,AWSoM,484,549.0
Ur,GONG2208,AWSoM,485,543.0
Ur,GONG2208,AWSoM,486,535.0
Ur,GONG2208,AWSoM,487,535.0
Ur,GONG2208,AWSoM,488,550.0
Ur,GONG2208,AWSoM,489,526.0
Ur,GONG2208,AWSoM,490,531.0
Ur,GONG2208,AWSoM,491,527.0
Ur,GONG2208,AWSoM,492,523.0
Ur,GONG2208,AWSoM,493,503.0
Ur,GONG2208,AWSoM,494,480.0
Ur,GONG2208,AWSoM,495,480.0
Ur,GONG2208,AWSoM,496,475.0
Ur,GONG2208,AWSoM,497,472.0
Ur,GONG2208,AWSoM,498,471.0
Ur,GONG2208,AWSoM,499,464.0
Ur,GONG2208,AWSoM,500,459.0
Ur,GONG2208,AWSoM,501,468.0
Ur,GONG2208,AWSoM,502,464.0
Ur,GONG2208,AWSoM,503,443.0
Ur,GONG2208,AWSoM,504,442.0
Ur,GONG2208,AWSoM,505,440.0
Ur,GONG2208,AWSoM,506,442.0
Ur,GONG2208,AWSoM,507,434.0
Ur,GONG2208,AWSoM,508,421.0
Ur,GONG2208,AWSoM,509,420.0
Ur,GONG2208,AWSoM,510,421.0
Ur,GONG2208,AWSoM,511,421.0
Ur,GONG2208,AWSoM,512,416.0
Ur,GONG2208,AWSoM,513,413.0
Ur,GONG2208,AWSoM,514,400.0
Ur,GONG2208,AWSoM,515,396.0
Ur,GONG2208,AWSoM,516,391.0
Ur,GONG2208,AWSoM,517,388.0
Ur,GONG2208,AWSoM,518,384.0
Ur,GONG2208,AWSoM,519,375.0
Ur,GONG2208,AWSoM,520,383.0
Ur,GONG2208,AWSoM,521,381.0
Ur,GONG2208,AWSoM,522,381.0
Ur,GONG2208,AWSoM,523,381.0
Ur,GONG2208,AWSoM,524,391.0
Ur,GONG2208,AWSoM,525,407.0
Ur,GONG2208,AWSoM,526,416.0
Ur,GONG2208,AWSoM,527,425.0
Ur,GONG2208,AWSoM,528,446.0
Ur,GONG2208,AWSoM,529,496.0
Ur,GONG2208,AWSoM,530,528.0
Ur,GONG2208,AWSoM,531,561.0
Ur,GONG2208,AWSoM,532,545.0
Ur,GONG2208,AWSoM,533,531.0
Ur,GONG2208,AWSoM,534,510.0
Ur,GONG2208,AWSoM,535,512.0
Ur,GONG2208,AWSoM,536,528.0
Ur,GONG2208,AWSoM,537,529.0
Ur,GONG2208,AWSoM,538,514.0
Ur,GONG2208,AWSoM,539,499.0
Ur,GONG2208,AWSoM,540,523.0
Ur,GONG2208,AWSoM,541,536.0
Ur,GONG2208,AWSoM,542,543.0
Ur,GONG2208,AWSoM,543,546.0
Ur,GONG2208,AWSoM,544,554.0
Ur,GONG2208,AWSoM,545,558.0
Ur,GONG2208,AWSoM,546,553.0
Ur,GONG2208,AWSoM,547,529.0
Ur,GONG2208,AWSoM,548,538.0
Ur,GONG2208,AWSoM,549,539.0
Ur,GONG2208,AWSoM,550,537.0
Ur,GONG2208,AWSoM,551,528.0
Ur,GONG2208,AWSoM,552,534.0
Ur,GONG2208,AWSoM,553,528.0
Ur,GONG2208,AWSoM,554,539.0
Ur,GONG2208,AWSoM,555,539.0
Ur,GONG2208,AWSoM,556,515.0
Ur,GONG2208,AWSoM,557,497.0
Ur,GONG2208,AWSoM,558,487.0
Ur,GONG2208,AWSoM,559,483.0
Ur,GONG2208,AWSoM,560,484.0
Ur,GONG2208,AWSoM,561,478.0
Ur,GONG2208,AWSoM,562,486.0
Ur,GONG2208,AWSoM,563,488.0
Ur,GONG2208,AWSoM,564,497.0
Ur,GONG2208,AWSoM,565,498.0
Ur,GONG2208,AWSoM,566,495.0
Ur,GONG2208,AWSoM,567,493.0
Ur,GONG2208,AWSoM,568,484.0
Ur,GONG2208,AWSoM,569,474.0
Ur,GONG2208,AWSoM,570,484.0
Ur,GONG2208,AWSoM,571,484.0
Ur,GONG2208,AWSoM,572,474.0
Ur,GONG2208,AWSoM,573,472.0
Ur,GONG2208,AWSoM,574,458.0
Ur,GONG2208,AWSoM,575,457.0
Ur,GONG2208,AWSoM,576,468.0
Ur,GONG2208,AWSoM,577,454.0
Ur,GONG2208,AWSoM,578,450.0
Ur,GONG2208,AWSoM,579,451.0
Ur,GONG2208,AWSoM,580,446.0
Ur,GONG2208,AWSoM,581,440.0
Ur,GONG2208,AWSoM,582,438.0
Ur,GONG2208,AWSoM,583,437.0
Ur,GONG2208,AWSoM,584,435.0
Ur,GONG2208,AWSoM,585,429.0
Ur,GONG2208,AWSoM,586,429.0
Ur,GONG2208,AWSoM,587,418.0
Ur,GONG2208,AWSoM,588,419.0
Ur,GONG2208,AWSoM,589,410.0
Ur,GONG2208,AWSoM,590,402.0
Ur,GONG2208,AWSoM,591,402.0
Ur,GONG2208,AWSoM,592,399.0
Ur,GONG2208,AWSoM,593,395.0
Ur,GONG2208,AWSoM,594,398.0
Ur,GONG2208,AWSoM,595,396.0
Ur,GONG2208,AWSoM,596,402.0
Ur,GONG2208,AWSoM,597,399.0
Ur,GONG2208,AWSoM,598,393.0
Ur,GONG2208,AWSoM,599,385.0
Ur,GONG2208,AWSoM,600,389.0
Ur,GONG2208,AWSoM,601,379.0
Ur,GONG2208,AWSoM,602,377.0
Ur,GONG2208,AWSoM,603,378.0
Ur,GONG2208,AWSoM,604,377.0
Ur,GONG2208,AWSoM,605,373.0
Ur,GONG2208,AWSoM,606,364.0
Ur,GONG2208,AWSoM,607,365.0
Ur,GONG2208,AWSoM,608,365.0
Ur,GONG2208,AWSoM,609,361.0
Ur,GONG2208,AWSoM,610,356.0
Ur,GONG2208,AWSoM,611,353.0
Ur,GONG2208,AWSoM,612,346.0
Ur,GONG2208,AWSoM,613,345.0
Ur,GONG2208,AWSoM,614,349.0
Ur,GONG2208,AWSoM,615,343.0
Ur,GONG2208,AWSoM,616,335.0
