BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
1.625294118,1.03529e18,937254.902,136544.1176,0.201764706,6.99754902,1.135784314,2.0,2.0,2.0,1,136.33621970856316,35.04542654737175,4.129885869880624,79421.00304469315,6,0.2,0.8
0.820588235,3.71765e18,752941.1765,176250.0,0.319411765,8.443627451,1.164215686,10.0,2.0,1.0,1,87.54571232259698,5.555929942557661,3.6312997820825554,79000.81275129112,-7,0.2,0.8
1.604117647,2.98824e18,498039.2157,50514.70588,0.112352941,6.18872549,1.181862745,6.0,2.0,2.0,1,114.66979151236966,10.126226295007227,3.391086527816614,86943.53231163314,-31,0.2,0.8
1.561764706,2.11765e18,996078.4314,185514.7059,0.191176471,9.669117647,1.000490196,6.0,2.0,1.0,1,102.71026009749583,27.403528279581067,4.078408333590664,79737.27696256475,-40,0.2,0.8
1.678235294,4.65882e18,898039.2157,275514.7059,0.178235294,6.703431373,1.056372549,3.0,2.0,2.0,1,97.74739225709554,23.504965789592692,3.259060351101203,74939.85082417884,-33,0.2,0.8
1.307647059,8.94118e17,443137.2549,205367.6471,0.137058824,5.110294118,1.166176471,9.0,2.0,1.0,1,100.50425609952738,4.82638500520134,3.6830056221433085,75895.40408447389,-30,0.2,0.8
1.667647059,1.36471e18,745098.0392,31985.29412,0.142941176,9.203431373,1.126960784,8.0,2.0,2.0,1,145.47515869959182,29.536956640032493,4.170112701238919,85020.35329783069,-12,0.2,0.8
1.71,3.05882e17,823529.4118,161691.1765,0.125294118,7.610294118,1.091666667,12.0,2.0,1.0,1,123.34454990817667,29.543720526241096,4.0932246582977045,88079.91106278729,-39,0.2,0.8
1.720588235,8.0e17,541176.4706,241102.9412,0.267647059,8.321078431,1.129901961,12.0,2.0,2.0,1,109.92776181059477,10.448218711165195,3.247309587710593,78816.40668039076,-38,0.2,0.8
1.731176471,2.96471e18,301960.7843,194779.4118,0.312352941,5.330882353,1.137745098,6.0,2.0,1.0,1,96.00120536311172,4.488032974964445,3.2355557749104826,79350.52116329124,-26,0.2,0.8
1.741764706,2.58824e18,854901.9608,125955.8824,0.106470588,5.551470588,1.009313725,6.0,2.0,2.0,1,122.18213997815384,28.43820222072772,3.963716475689106,89240.71474595841,-30,0.2,0.8
1.402941176,2.11765e17,333333.3333,132573.5294,0.158235294,6.776960784,1.058333333,4.0,2.0,1.0,1,78.76307235925921,4.745044835093208,3.6140910832821866,67208.57050924629,-26,0.2,0.8
1.466470588,1.78824e18,411764.7059,160367.6471,0.325294118,8.909313725,1.182843137,12.0,2.0,2.0,1,91.11346263896894,4.504965412420344,3.428417229648289,76195.00152182372,-40,0.2,0.8
1.752352941,2.0e18,396078.4314,34632.35294,0.266470588,6.409313725,1.092647059,5.0,2.0,1.0,1,93.92737880760843,5.860261722417535,3.108844280760556,78101.66837031873,-41,0.2,0.8
