BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,rmse_Ur,shift,runID
1.836633943,452439.3734,249937.6792,142.36835185789857,19,263
1.711664989,513385.9906,209030.4321,142.62764701396873,39,417
2.64772696,341332.5598,218678.6239,143.13980843210174,31,282
0.54238346,1.078315269e6,250209.0088,143.27552629425566,-7,41
2.17832748,527403.6361,139761.073,143.30459848050364,29,69
1.970736197,448000.3987,58899.23227,143.3821391905683,39,475
1.130118267,580689.2795,164699.7482,143.6856648479776,38,129
2.47794276,430075.4681,78306.0252,143.68586122611737,4,298
0.766987618,1.081549835e6,183044.9259,143.759880511285,24,314
1.437317447,746843.0674,260120.4323,143.82338977352447,39,11
2.092006745,418806.5993,213194.2867,144.00062015407215,24,231
0.758131921,621820.9846,177175.5256,144.23334216340953,19,29
2.016061776,376650.4573,228356.3828,144.3965268041576,34,402
2.572179792,332227.8025,133173.1163,144.49833594628015,14,407
0.98624832,491770.9183,111284.1341,144.58737822876125,33,169
2.150676802,404459.3042,163442.6136,144.5874302223283,33,436
1.778039965,382233.6547,74576.27753,145.21793886482504,38,357
1.063137862,969221.2773,147495.615,145.43571888284697,29,17
1.319503708,919214.9092,68982.75897,145.79273637248866,30,144
1.642639075,411656.8696,275561.2761,146.15396484080074,22,310
0.669554987,828599.9844,87832.74204,146.15585541838954,29,221
1.043407041,890460.5519,40804.45935,146.33005358833074,16,469
1.770790502,572530.343,183868.358,146.5062026826517,23,468
0.911991161,906864.0182,169269.3085,146.64597063804894,31,107
0.808845839,455407.748,231063.2756,146.7348560613894,29,5
1.046367748,1.087014299e6,104468.8044,146.87172784881335,19,83
2.417476911,389299.662,60488.49869,147.30594897398635,44,413
1.905897232,527127.6247,124978.8224,147.3094656542148,45,257
1.151259969,717020.5051,294418.7864,147.3434481023367,34,51
0.763236181,585731.343,262010.5834,147.36479818143235,48,477
0.95588842,573556.6868,72486.1036,147.78352873442074,35,317
1.809488017,350379.8878,263377.6945,147.85303178252198,23,84
2.330836207,420093.4693,198412.3234,147.98138581846257,38,102
0.984918175,1.040185182e6,279043.9397,148.25020944175986,25,328
2.19515518,398491.8777,128324.0929,148.3465411757301,17,127
1.679301334,529479.3321,179294.5484,148.3710475485849,41,182
1.374321877,781233.7914,148697.0226,148.5792744383782,40,400
1.976450193,358700.512,109197.2978,148.82426520573986,11,40
0.873890443,530696.0303,85000.37275,148.97245378510286,22,10
1.669033274,363695.314,113982.547,149.13575672424776,32,238
0.969429145,631607.6344,156800.7056,149.4029489374427,27,187
