Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
60,2.501804465,1.559768464,486305.5579,160494.0888,0.224856535,2.493131e18,1.167564435,0.727272727,1,2,94.1943528353804,5.8599569565812075,3.607083272268699,81376.48599999105,-26,0.2,0.8
61,5.711870494,0.799292313,553522.8245,77460.8659,0.181565662,4.309028e18,1.174392643,0.0,1,2,233.20845191779773,6.267000426362555,4.0268684786116955,79080.82355796253,16,0.2,0.8
62,3.961442355,1.474975628,566269.6725,177679.3966,0.123351457,2.655105e18,1.172221465,0.0,1,1,106.1584768987293,8.156189882242844,3.555469722959694,81883.38769871504,-29,0.2,0.8
63,7.162355513,0.613045782,498565.6505,261240.9047,0.290101761,8.674797e17,1.105099006,0.181818182,1,1,109.20175362260666,6.576891335040215,4.32658913150612,82585.3745263977,4,0.2,0.8
64,9.984451679,1.125466698,1.077020441e6,86253.20474,0.237549749,7.854897e17,1.179847963,0.090909091,1,2,139.70667934410923,15.912814370589466,3.7083872579814154,91708.7457712305,-3,0.2,0.8
65,3.181802079,2.557282469,360579.465,214089.5617,0.148527614,3.928704e18,1.094076017,1.0,1,1,108.29298392147444,6.209030606162982,2.9010327794432915,76848.92634558817,-20,0.2,0.8
66,5.127984262,1.699703201,680811.8444,293469.8856,0.311807987,2.144448e18,1.195492626,0.636363636,1,2,96.77057003792638,16.91866130289344,3.1240409427460194,87462.73817171546,-41,0.2,0.8
67,1.783538968,0.835474134,756582.0683,133440.4141,0.160551909,3.768427e18,1.168051647,0.909090909,1,1,157.29828558973,5.979360099321045,3.596191916155746,77505.06272553962,4,0.2,0.8
68,8.236026093,0.952605767,524656.7419,116242.9859,0.13306086,2.430284e18,1.162277427,0.0,1,2,193.4295493177233,5.917324087905187,4.1126430569303665,86495.49915510323,-27,0.2,0.8
69,0.034959924,1.269888364,441764.1213,36859.06522,0.326337196,4.242666e18,1.141713308,0.090909091,1,1,104.9084175068617,5.631173915574087,3.7548009871739865,86809.38700249017,7,0.2,0.8
