Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
175,1.773660965,1.124160245,428560.0791,186516.8666,0.11340569,2.421741e18,1.110638833,0.909090909,1,2,8.537413771214636,-2,0.2,0.8
176,6.048883703,0.768430883,487360.1371,107677.2019,0.150536954,2.646628e18,1.114038807,0.818181818,1,1,5.804294557994414,7,0.2,0.8
177,7.660507776,0.56112198,812506.8575,49938.02918,0.118083097,1.266131e18,1.163793788,0.636363636,1,2,8.436588181902941,-26,0.2,0.8
178,3.707318329,0.8874041,329904.3493,211097.1346,0.243529588,3.295326e18,1.114696775,0.909090909,1,1,5.824183651669906,-27,0.2,0.8
179,9.11474437,1.544240516,385240.8024,154931.2697,0.252528542,1.720438e18,1.139029445,0.636363636,1,2,14.758887268122859,-10,0.2,0.8
180,2.320080043,0.686700381,656156.7994,65009.53853,0.205573128,4.709229e18,1.133558357,0.636363636,1,1,7.500717419548714,8,0.2,0.8
181,8.120250537,0.675168171,354343.1876,219238.2496,0.282856932,1.42892e18,1.140936968,0.545454545,1,2,6.880517408336882,-48,0.2,0.8
182,4.701988811,1.199575695,311583.2163,146732.2474,0.333113211,3.603736e18,1.130028206,0.272727273,1,1,5.758936980110029,-9,0.2,0.8
183,6.657175915,0.87999186,628251.1665,91074.13652,0.139878653,5.915057e17,1.0994284,0.454545455,1,2,14.01379421042837,29,0.2,0.8
184,1.899390526,0.572934131,914393.3114,165773.5786,0.250795688,2.771746e18,1.118909696,1.0,1,1,11.034612070009834,-4,0.2,0.8
185,4.311185493,0.763236181,585731.343,262010.5834,0.226062045,1.166246e18,1.062452863,0.272727273,1,2,7.941746398027366,6,0.2,0.8
186,8.511334988,1.116790397,530373.48,36567.28773,0.277993266,3.941428e18,1.120277449,0.181818182,1,1,21.90626913937872,3,0.2,0.8
187,0.461636435,0.828840991,409454.455,115955.9197,0.204952196,2.129197e18,1.142922665,0.545454545,1,2,5.734677151577082,-21,0.2,0.8
188,5.669373414,0.620914613,745603.0939,274869.6888,0.315281494,4.909346e18,1.076820599,0.545454545,1,1,7.544481377907749,-23,0.2,0.8
189,9.863512819,1.234491475,422105.1909,284731.2217,0.130097709,1.385227e18,1.153715892,0.545454545,1,2,9.790371058937946,-10,0.2,0.8
190,1.824192645,0.980100803,542729.7212,205870.8266,0.327066732,3.169478e18,1.122797746,0.909090909,1,1,11.87210208225679,-4,0.2,0.8
191,2.939404869,0.644627668,468041.5116,76691.19672,0.12596434,4.010115e18,1.116241525,1.0,1,2,5.976162985526884,1,0.2,0.8
192,5.588084366,1.066051065,323837.1179,247626.4451,0.271852474,4.631877e18,1.151972303,0.545454545,1,1,5.379771753033179,-22,0.2,0.8
193,9.160572116,0.591359309,699330.2464,102587.3618,0.188866739,3.672735e18,1.138034647,0.454545455,1,2,6.804200270838867,-18,0.2,0.8
194,2.214390226,1.353753035,367084.5985,50662.74506,0.232086766,6.569887e17,1.192904809,0.181818182,1,1,13.143977674972904,18,0.2,0.8
195,3.883930447,0.963400397,384142.7179,185996.8863,0.133909673,4.779952e18,1.175027371,0.818181818,1,2,5.7742792732924,3,0.2,0.8
196,8.313532791,1.451491238,325730.4268,112432.6692,0.129534132,2.047661e17,1.150545515,0.909090909,1,1,12.811628783030434,10,0.2,0.8
197,0.268718256,0.627564938,607878.4185,56817.22152,0.292825566,3.221688e18,1.106675591,0.454545455,1,2,5.646002837751489,14,0.2,0.8
198,7.609966244,1.015613151,552736.6215,295251.867,0.19123385,2.717279e18,1.193833542,0.090909091,1,1,12.11621732449094,0,0.2,0.8
199,6.537478461,0.540558814,426680.84,150212.753,0.228281084,4.15938e18,1.104722415,1.0,1,2,7.261040579548906,-48,0.2,0.8
200,7.114804769,1.821236688,301431.0865,203808.225,0.158330648,2.294974e18,1.128496112,0.272727273,1,1,8.987450976869331,-5,0.2,0.8
201,5.087644381,0.725745746,519181.4769,171612.6918,0.119760299,1.017237e18,1.153149342,0.363636364,1,2,6.223350267328112,-20,0.2,0.8
202,4.892791447,0.589621434,762054.9252,221507.4281,0.211351992,4.460076e18,1.18901788,0.090909091,1,1,8.59147090896829,-48,0.2,0.8
203,9.05071896,0.930668151,494662.7799,43448.60759,0.336800305,2.581067e18,1.175211288,0.454545455,1,2,10.092425527863885,-3,0.2,0.8
204,1.387245879,0.780059503,338080.5533,281884.6294,0.175382996,1.879636e18,1.126976262,0.818181818,1,1,6.576093846866103,-48,0.2,0.8
205,2.736794979,0.845763287,663355.3412,135829.9985,0.274306117,4.436866e17,1.135035278,0.090909091,1,2,12.931977085222037,0,0.2,0.8
206,5.790615026,1.099859406,396785.0473,83863.61972,0.201029441,3.45475e18,1.177968826,0.0,1,1,8.666658083842414,-13,0.2,0.8
207,8.075876057,0.658281779,727553.2074,172452.206,0.276876606,4.439828e18,1.163200463,0.181818182,1,2,8.381949545655146,-25,0.2,0.8
