Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
24,0.894489405,0.564010592,667268.7618,219678.2786,0.234754666,1.730171e18,1.136606442,0.545454545,1,1,89.6089559425539,6.056509481076782,4.912706697812494,49345.395638635026,-25,0.2,0.8
25,4.5084431,1.034351699,343545.1014,90457.41159,0.195832425,2.926109e17,1.194556829,0.363636364,1,2,90.3801228785338,6.203029112285512,3.919669580463837,46510.17852246526,-24,0.2,0.8
26,9.124931712,0.68536084,801543.9298,165004.4893,0.321632311,3.072984e18,1.196312236,0.818181818,1,1,79.472421215219,9.362426607494491,4.419345194798833,42870.772539267615,-8,0.2,0.8
27,3.353913063,1.329648294,324341.6296,296092.7777,0.107056712,5.830312e17,1.118500387,0.0,1,2,55.489183676293536,5.286848644292171,4.029988700992119,37730.56553348777,5,0.2,0.8
28,8.84309764,0.571627555,365981.9784,65379.07912,0.156417133,4.408142e18,1.148776936,0.454545455,1,1,110.46434744745964,7.053105821982914,5.1843413883708855,48172.77489033966,-15,0.2,0.8
29,7.368172652,0.760874907,734097.0717,159505.4436,0.124857287,1.902713e18,1.199387704,0.545454545,1,2,83.37622725939879,11.016023517674599,4.38328009715035,43204.121986157355,-14,0.2,0.8
30,1.497135903,0.957694109,423345.522,236297.8486,0.235774352,3.931692e18,1.100045269,0.909090909,1,1,64.60283073300646,4.8919082886905025,4.428728843389195,41472.78818520506,9,0.2,0.8
31,2.651220157,0.622781502,597093.668,107109.9763,0.213755514,2.945523e18,1.129602772,0.181818182,1,2,82.30571125082125,5.162780169420907,4.770436747358162,41857.81063776268,-22,0.2,0.8
32,4.013280494,0.808845839,455407.748,231063.2756,0.314279168,2.202823e18,1.182307273,0.727272727,1,1,71.91768861491695,5.041510820251166,4.630658754538351,43989.51852275514,4,0.2,0.8
33,8.164561295,1.096541615,410695.5606,134824.8239,0.309279237,3.178008e18,1.073263375,0.727272727,1,2,50.43346401898515,7.285891283138255,3.915787752655769,45038.13393408276,-3,0.2,0.8
34,0.124783036,0.873890443,530696.0303,85000.37275,0.112267528,1.394925e18,1.086996795,0.727272727,1,1,95.4107226690397,10.330897842323747,3.8052022005842243,45109.75469138866,-12,0.2,0.8
35,7.773510143,0.722882167,686619.1443,255920.3416,0.251798241,6.654976e17,1.183714098,0.545454545,1,2,82.2903306698804,8.098936522026728,4.4517114291430255,44370.52664918656,-16,0.2,0.8
36,0.828090918,1.517015398,353239.7922,166520.4704,0.208537587,3.682417e18,1.096219453,0.0,1,1,37.47757428158463,6.878596162620297,3.6098655400403596,41171.133463143866,8,0.2,0.8
37,6.349612207,0.927145392,312088.4787,127764.4649,0.167905347,1.657233e18,1.173778952,0.909090909,1,2,60.19323764624619,5.122357635581054,4.633549070381591,44206.29131583893,-3,0.2,0.8
38,2.206954272,0.593225029,844714.6295,272456.498,0.282103635,4.108325e18,1.171457548,0.454545455,1,1,98.13476063644437,8.875401479253913,4.662335786890945,43325.97286243938,-16,0.2,0.8
39,9.738970911,1.617818721,338343.9763,262883.6646,0.310590631,3.230827e18,1.159102524,0.363636364,1,2,74.54192915854706,7.18692131134651,3.6027591425104797,47486.488797620994,3,0.2,0.8
40,1.694919004,0.758131921,621820.9846,177175.5256,0.147401392,2.150828e17,1.123366337,0.363636364,1,1,71.42329676929346,8.573329282188881,4.053662197434188,44327.439307372384,-5,0.2,0.8
41,8.285649426,0.626234667,859414.7485,224448.027,0.176270207,3.958189e18,1.067856673,0.727272727,1,2,95.2906415643153,9.052294811982863,4.47581095441372,39068.86145493215,-12,0.2,0.8
42,3.083416419,0.823341224,395532.891,31112.65427,0.305349472,1.805939e18,1.17997979,0.636363636,1,1,94.08491240584107,5.2557415087587955,4.352958485500087,49729.04193713197,-3,0.2,0.8
43,5.424616649,0.705930485,440518.4081,269532.1952,0.212458928,2.352683e18,1.142479018,0.909090909,1,2,104.48677437573994,6.139076546429573,5.049355709803049,42943.26645316767,-24,0.2,0.8
44,4.594995817,0.54238346,1.078315269e6,250209.0088,0.118873314,3.695516e18,1.07498305,0.090909091,1,1,103.78806551301868,11.443629895714858,4.611529757676531,42107.60186263076,-20,0.2,0.8
45,9.348514627,0.910358666,564439.1185,141376.3541,0.248540381,9.433209e17,1.180343416,0.545454545,1,2,67.9791423133312,11.192366239025942,3.850236667117008,43771.15489935596,-2,0.2,0.8
46,2.397603425,1.194019284,494145.68,96298.45137,0.17160008,2.72757e18,1.051120994,1.0,1,1,70.70628325696099,16.17321119812016,3.6529315474748496,43818.46924841548,-14,0.2,0.8
47,7.897955717,1.062850191,481887.2087,196798.2034,0.103485477,4.38304e18,1.169164987,0.818181818,1,2,50.28688963382312,9.071231040748154,3.923110136553314,37895.04353573568,12,0.2,0.8
48,3.154853396,0.728625982,773895.2288,71617.89002,0.22928352,1.452866e18,1.151884326,0.272727273,1,1,94.25810848950402,14.714993491902378,3.9752389434087383,46400.285639729715,-12,0.2,0.8
49,4.904499908,1.382652136,427772.4095,101614.8726,0.15260467,1.008227e18,1.077010762,0.909090909,1,2,89.27656966148173,18.427564306896123,4.090725205831459,45077.108459891104,-17,0.2,0.8
50,6.864720904,0.588290271,507393.5457,51767.32768,0.319559502,2.795992e18,1.078387618,0.636363636,1,1,95.22893115634803,5.780886572174118,5.02725409770372,45363.38522203653,-35,0.2,0.8
51,6.079305375,1.657018582,312643.8769,87141.34956,0.281031437,4.069426e18,1.190783413,0.090909091,1,2,54.12949227246176,10.633311825489098,3.950850523560589,46559.64569759411,-15,0.2,0.8
52,7.255801999,1.230821962,382889.7864,200811.8056,0.23957862,4.334866e17,1.184632397,0.636363636,1,1,51.97815801062761,9.321158483864465,3.8116643082267667,43172.35246726158,0,0.2,0.8
53,0.547135,0.673189965,325994.6004,160997.5912,0.264330123,4.858299e18,1.188427679,0.363636364,1,2,79.11744426775404,6.75109945300669,5.237296215616812,40890.24477402015,-13,0.2,0.8
54,8.048381389,0.85698442,613039.5446,61487.11522,0.184420289,2.913509e18,1.198048593,0.181818182,1,1,68.54650201656077,12.393395744486597,3.8029402858010104,43599.23227312248,-3,0.2,0.8
55,1.102807913,1.113422979,345538.4884,108702.1096,0.227626923,1.134093e18,1.161340567,0.636363636,1,2,65.43487340835433,5.614389017770306,3.950560989745185,45483.56836344663,-12,0.2,0.8
