BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0.693529412,3.64706e18,788235.2941,45220.58824,0.258235294,6.801470588,1.104411765,6,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.704117647,2.4e18,858823.5294,209338.2353,0.114705882,9.424019608,1.136764706,8,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.714705882,4.32941e18,580392.1569,286102.9412,0.108823529,6.531862745,1.012254902,2,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.651176471,2.94118e18,1.039215686e6,135220.5882,0.252352941,8.492647059,1.022058824,6,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.735882353,4.75294e18,1.058823529e6,180220.5882,0.288823529,9.007352941,1.19754902,7,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.746470588,4.58824e18,509803.9216,53161.76471,0.227647059,8.762254902,1.001470588,12,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.767647059,6.82353e17,505882.3529,255661.7647,0.126470588,7.218137255,1.075980392,3,1.0,1.0,1,111.65911064575525,6.05489395126426,4.144435148194318,61531.32167799051,2,0.2,0.8
0.799411765,3.38824e18,427450.9804,294044.1176,0.261764706,5.870098039,1.163235294,3,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
1.635882353,4.70588e18,800000.0,128602.9412,0.234705882,5.036764706,1.127941176,7,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.788823529,1.31765e18,701960.7843,172279.4118,0.207647059,8.24754902,1.046568627,3,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.81,3.76471e17,960784.3137,229191.1765,0.262941176,9.325980392,1.005392157,5,1.0,1.0,1,102.19055947958913,6.140568354748915,3.462857637225773,76141.10714947418,-1,0.2,0.8
1.89,4.94118e17,1.047058824e6,190808.8235,0.148823529,5.257352941,1.140686275,5,1.0,2.0,1,132.68360646600055,51.659696403323146,4.652578087300325,85228.89286658434,-29,0.2,0.8
1.646470588,3.2e18,631372.549,100808.8235,0.321764706,8.149509804,1.008333333,6,1.0,1.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
0.831176471,2.8e18,439215.6863,38602.94118,0.193529412,9.227941176,1.078921569,6,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
2.038235294,2.65882e18,1.019607843e6,274191.1765,0.195882353,6.31127451,1.186764706,4,1.0,1.0,1,122.63391020319155,41.056712187743145,3.8798627045849443,76488.20553440726,-25,0.2,0.8
0.873529412,1.50588e18,549019.6078,250367.6471,0.167647059,9.276960784,1.159313725,4,1.0,2.0,0,453.84024719818024,7.532585114288719,5.025976405826278,111819.04423150636,-48,0.2,0.8
